,city,state,zipcode,address,year_built_homefinder,bed_homefinder,bath_homefinder,ptype_homefinder,price_homefinder,sqft_homefinder,desc_homefinder,nbhd_homefinder,year_built_realtor,bed_realtor,bath_realtor,ptype_realtor,price_realtor,sqft_realtor,tags_realtor,year_built_homes,bed_homes,bath_homes,ptype_homes,price_homes,sqft_homes,description_homes
0,KENT,OH,44240,1667 HONEYCHUCK LN,0.0,0.0,0.0,Raw Land,70000.0,0.0,"Last home site in Country View Estates. Beautiful rolling lanes of upscale custom homes set in a neighborhood boasting
an ""Open Space"" concept that sustains the ""Large Country Feeling"" throughout. This home site is nestled in a cul-de-sac of
the final phase of Country View Estates. A wooded backdrop offers the rear yard privacy that you have been looking for.
Looking for a neighborhood with low traffic past your home? Here it is.
Call for deed restrictions and other documentation.",,,,,,,,,,,,lots land,70000.0,,"Last home site in Country View Estates. Beautiful rolling lanes of upscale custom homes set in a neighborhood boastingan ""Open Space"" concept that sustains the ""Large Country Feeling"" throughout. This home site is nestled in a cul-de-sac ofthe final phase of Country View Estates. A wooded backdrop offers the rear yard privacy that you have been looking for.Looking for a neighborhood with low traffic past your home? Here it is.Call for deed restrictions and other documentation."
1,KENT,OH,44240,1495 RIVER EDGE DR,1993.0,4.0,4.0,Single Family Home,359900.0,2758.0,"Welcome home to this custom-quality built home located in highly sought after River Bend neighborhood. Attention to detail is evident from the moment you step into the gracious two-story foyer. Flanking the  foyer you will find a formal Dining Room and the expansive Living Room with French doors that flows into the Family Room. This room will become your favorite gathering spot with a uniquely designed brick fireplace with a raised hearth, mantel and built-in side bookcases. The spacious remodeled kitchen is a chef's dream with the huge middle island, granite countertops, SS appliances and maple cabinetry. There is also a large dinette area that easily accommodates casual dining. French doors off the FR leads to the light-filled, heated Sun Room with a cathedral ceiling offering a picturesque view of the old Oak Knolls golf course. A main floor laundry room and half bath round out the first floor. The inviting master suite features a walk-in closet and glamour bath with whirlpool tub & skylight. Three additional BR's and bath complete the second floor. The lower level has been professionally finished into a rec room and a full bath. Special features include extensive crown moldings , HW floors, 9 ft. ceilings and sprinkler system. This development has much to offer : close proximity to schools, river park access w/kayak launching and fishing, walking distance to community pool and tennis courts, easy access to hop on the Hike & Bike Trail, street lights and sidewalks.",,1993.0,4.0,4.0,single_family,359900.0,3586.0,"['central_air', 'community_security_features', 'recreation_facilities', 'community_tennis_court', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'golf_course_view', 'golf_course_lot_or_frontage', 'community_outdoor_space', 'view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'modern_kitchen', 'large_kitchen', 'high_ceiling', 'cathedral_ceiling', 'master_suite', 'tennis_court', 'river_access']",1993.0,4.0,4.0,house,359900.0,2758.0,"Welcome home to this custom-quality built home located in highly sought after River Bend neighborhood. Attention to detail is evident from the moment you step into the gracious two-story foyer. Flanking the foyer you will find a formal Dining Room and the expansive Living Room with French doors that flows into the Family Room. This room will become your favorite gathering spot with a uniquely designed brick fireplace with a raised hearth, mantel and built-in side bookcases. The spacious remodeled kitchen is a chef's dream with the huge middle island, granite countertops, SS appliances and maple cabinetry. There is also a large dinette area that easily accommodates casual dining. French doors off the FR leads to the light-filled, heated Sun Room with a cathedral ceiling offering a picturesque view of the old Oak Knolls golf course. A main floor laundry room and half bath round out the first floor. The inviting master suite features a walk-in closet and glamour bath with whirlpool tub & skylight. Three additional BR's and bath complete the second floor. The lower level has been professionally finished into a rec room and a full bath. Special features include extensive crown moldings , HW floors, 9 ft. ceilings and sprinkler system. This development has much to offer : close proximity to schools, river park access w/kayak launching and fishing, walking distance to community pool and tennis courts, easy access to hop on the Hike & Bike Trail, street lights and sidewalks."
2,KENT,OH,44240,500 FAIRCHILD AVE.,1901.0,3.0,1.0,Single Family Home,71000.0,1382.0,Three bedroom Colonial located near downtown Kent. Minutes from Kent State University. Zoned Single family. Call today.,Downtown Kent,,,,,,,,,,,,,,
3,KENT,OH,44240,2051 EAST SWAN LAKE CIR,2003.0,5.0,5.0,Single Family Home,567000.0,2991.0,"Stunning 4-5 bedroom home, 4.5 Bathrooms, 4,586sf of finished area including walk-out lower level finished basement w/ bar & theater area, magnificent water views of the private waterway, home is located at 2051 East Swan Lake Circle in the Beautiful Twin Lakes area of Kent Ohio in highly sought after Lake Royale Development cul de sac lot. Bonus room over 3-car garage can be used as bedroom or additional recreation room. This stunning resort like home on the waters edge boasts a two story Great Room & wonderful stone accented gas fireplace wall. Master Bedroom & Master Bathroom are on the 1st floor with views of the water as well! Roomy kitchen w/ tons of cabinets & stainless steel appliances for the chef in you. Full walk-out basement includes an Entertainment area, full wet bar & bonus room can be an office as well as a 5th bedroom or home office. This spacious home also includes foyer, laundry room, garage entry from large 3 car garage, large deck as well as a concrete patio, workout room, private dock, gas fueled fire pit & bonfire area. In addition to all this prewired security system, Jucuzzi, 5 zone Audio system and it is pre-wired for both central vac and smarthome control. There's a private pond and pavilion owned by the Land Owners Association for this small Development's Owners use as well as Lake Royale that is a wonderful swimming lake featuring both a private swim dock & a fishing dock & is awesome for kayaking & paddleboarding! Coming Soon, showings start 2/23",,,,,,,,,2003.0,5.0,5.0,house,567000.0,2991.0,"Stunning 4-5 bedroom home, 4.5 Bathrooms, 4,586sf of finished area including walk-out lower level finished basement w/ bar & theater area, magnificent water views of the private waterway, home is located at 2051 East Swan Lake Circle in the Beautiful Twin Lakes area of Kent Ohio in highly sought after Lake Royale Development cul de sac lot. Bonus room over 3-car garage can be used as bedroom or additional recreation room. This stunning resort like home on the waters edge boasts a two story Great Room & wonderful stone accented gas fireplace wall. Master Bedroom & Master Bathroom are on the 1st floor with views of the water as well! Roomy kitchen w/ tons of cabinets & stainless steel appliances for the chef in you. Full walk-out basement includes an Entertainment area, full wet bar & bonus room can be an office as well as a 5th bedroom or home office. This spacious home also includes foyer, laundry room, garage entry from large 3 car garage, large deck as well as a concrete patio, workout room, private dock, gas fueled fire pit & bonfire area. In addition to all this prewired security system, Jucuzzi, 5 zone Audio system and it is pre-wired for both central vac and smarthome control. There's a private pond and pavilion owned by the Land Owners Association for this small Development's Owners use as well as Lake Royale that is a wonderful swimming lake featuring both a private swim dock & a fishing dock & is awesome for kayaking & paddleboarding! Coming Soon, showings start 2/23"
4,KENT,OH,44240,634 VINE ST,1910.0,4.0,2.0,Single Family Home,139900.0,1376.0,"Located within walking distance to Kent State University and the bus route, this property offers a living room, updated kitchen, bedroom and full bath on the first floor and three additional bedrooms and a full bath on the second floor. Good rental history.",,1910.0,4.0,2.0,single_family,139900.0,1376.0,"['forced_air', 'basement', 'two_or_more_stories', 'updated_kitchen', 'rental_property']",1910.0,4.0,2.0,house,139900.0,1376.0,"Located within walking distance to Kent State University and the bus route, this property offers a living room, updated kitchen, bedroom and full bath on the first floor and three additional bedrooms and a full bath on the second floor. Good rental history."
5,KENT,OH,44240,327 CHERRY ST,0.0,0.0,0.0,Raw Land,20900.0,0.0,"City lot with a garage. This property is ready for building a single family or a 2 family home. (Zoned R-3) Location is convenient to KSU, downtown Kent, Bus-Line, shopping, recreation center, elementary school and Plum Creek Park. Nice level lot. Lot extends to alley at the rear.",,,,0.0,land,20900.0,,"['city_view', 'community_clubhouse', 'recreation_facilities', 'view']",,,,lots land,20900.0,,"City lot with a garage. This property is ready for building a single family or a 2 family home. (Zoned R-3) Location is convenient to KSU, downtown Kent, Bus-Line, shopping, recreation center, elementary school and Plum Creek Park. Nice level lot. Lot extends to alley at the rear."
6,KENT,OH,44240,5891 POWDERMILL RD,1958.0,3.0,2.0,Single Family Home,219000.0,0.0,"This ranch is ready to move in with new paint, new carpet and lots of windows to let in the natural light. Use the wood burning fireplace in the living/dining room for the chilly winter nights. The family room is directly off the kitchen,but if you need more room for entertaining the lower level is completely finished with a full bath and access to the outside. There is a large heated workshop  that is attached to the house garage. The large building in the back can be used for anything it has a 40X48 with 12 ft high ceilings and 2 large garage doors that is heated and has sodium lighting. The front of the building has 2 offices 10X15 and a 9X15 entry way. Above the offices is a 15X31 storage area. This property has so much to offer that your not going to want to miss out. It is located right down the road from the new Kent state golfing facility.",,1958.0,3.0,2.0,single_family,219000.0,,"['central_air', 'den_or_office', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'community_outdoor_space', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'high_ceiling', 'farm', 'ranch']",1958.0,3.0,2.0,house,219000.0,,"This ranch is ready to move in with new paint, new carpet and lots of windows to let in the natural light. Use the wood burning fireplace in the living/dining room for the chilly winter nights. The family room is directly off the kitchen,but if you need more room for entertaining the lower level is completely finished with a full bath and access to the outside. There is a large heated workshop that is attached to the house garage. The large building in the back can be used for anything it has a 40X48 with 12 ft high ceilings and 2 large garage doors that is heated and has sodium lighting. The front of the building has 2 offices 10X15 and a 9X15 entry way. Above the offices is a 15X31 storage area. This property has so much to offer that your not going to want to miss out. It is located right down the road from the new Kent state golfing facility."
7,KENT,OH,44240,621 RUSTIC KNOLL DR,1999.0,5.0,5.0,Single Family Home,650000.0,4733.0,"SPECTACULAR 5 Bedroom/4 & 1/2 Bath Stone MASTERPIECE on almost 2 Acres of Private Scenic Land with 321 Feet of Cuyahoga River Frontage built in the DESIRABLE River Bend East with a FOUR CAR GARAGE.  Home Include:  DRAMATIC Front Entrance to AMAZING Foyer which leads to the EXCEPTIONAL Custom Kitchen with Cherry Cabinets, STUNNING Hardwood Floors, & Granite Counter Tops, Center Island, MASSIVE Pantry, Double Viking Ovens, and Breakfast Area.  The Large Kitchen Area leads to the MAMMOTH Great Room with PHENOMENAL Stone Fireplace, WONDERFUL Wall of Windows, & Hardwood Floors, Front Library/Office Area with Gas Fireplace, Marble Hearth, and Built in Bookshelves, Formal Dining Room, and an AWESOME First Floor Laundry Room.  2nd Floor offers the Large Master Bedroom with Walk In Closet & Master Bath, 4 other Large Bedrooms with 2 Jack & Jill Baths.  The 4-Tiered Back Deck was built to capitalize on the AMAZING Scenic Views plus a DRAMATIC Custom Water Fall.  Home offers Front & Back Staircase to Second Floor for convenience plus two sets of stairs to the basement. The Completely Finished WALK OUT Basement offers a Family Room Area, Rec. Room, Bar, and even an Exercise Area.  The Basement Walks out to the SENSATIONAL Back Brick Patio that leads you to the FABULOUS Back Yard that borders the Cuyahoga River.  Upgrades Include the Fabulous Kitchen, New Carpet, New Windows, Updated Fixtures, Refinished Hardwood Floors, High End Stainless Steel Appliances, and a Fresh Coat of Paint!",,1999.0,5.0,5.0,single_family,650000.0,6533.0,"['central_air', 'den_or_office', 'dining_room', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'community_outdoor_space', 'river_view', 'view', 'water_view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'jack_and_jill_bathroom', 'master_bedroom', 'library', 'big_lot']",1999.0,5.0,5.0,house,650000.0,4733.0,"SPECTACULAR 5 Bedroom/4 & 1/2 Bath Stone MASTERPIECE on almost 2 Acres of Private Scenic Land with 321 Feet of Cuyahoga River Frontage built in the DESIRABLE River Bend East with a FOUR CAR GARAGE. Home Include: DRAMATIC Front Entrance to AMAZING Foyer which leads to the EXCEPTIONAL Custom Kitchen with Cherry Cabinets, STUNNING Hardwood Floors, & Granite Counter Tops, Center Island, MASSIVE Pantry, Double Viking Ovens, and Breakfast Area. The Large Kitchen Area leads to the MAMMOTH Great Room with PHENOMENAL Stone Fireplace, WONDERFUL Wall of Windows, & Hardwood Floors, Front Library/Office Area with Gas Fireplace, Marble Hearth, and Built in Bookshelves, Formal Dining Room, and an AWESOME First Floor Laundry Room. 2nd Floor offers the Large Master Bedroom with Walk In Closet & Master Bath, 4 other Large Bedrooms with 2 Jack & Jill Baths. The 4-Tiered Back Deck was built to capitalize on the AMAZING Scenic Views plus a DRAMATIC Custom Water Fall. Home offers Front & Back Staircase to Second Floor for convenience plus two sets of stairs to the basement. The Completely Finished WALK OUT Basement offers a Family Room Area, Rec. Room, Bar, and even an Exercise Area. The Basement Walks out to the SENSATIONAL Back Brick Patio that leads you to the FABULOUS Back Yard that borders the Cuyahoga River. Upgrades Include the Fabulous Kitchen, New Carpet, New Windows, Updated Fixtures, Refinished Hardwood Floors, High End Stainless Steel Appliances, and a Fresh Coat of Paint!"
8,KENT,OH,44240,319 BOWMAN DR,1965.0,3.0,2.0,Single Family Home,150000.0,1196.0,"Beautiful solid brick ranch with 3 bedrooms, full bath upstairs and a bath in the basement. Original hardwood floors exposed on the main level. Home freshly painted, just move right in! Lots of extra space in the basement with room for a 11x42 family room for entertaining. Fenced in back yard with ever blooming flowers. New floating deck off the back of the house. Quiet street, just waiting for you to make it your own.",Downtown Kent,,,,,,,,1965.0,3.0,2.0,house,150000.0,1196.0,"Beautiful solid brick ranch with 3 bedrooms, full bath upstairs and a bath in the basement. Original hardwood floors exposed on the main level. Home freshly painted, just move right in! Lots of extra space in the basement with room for a 11x42 family room for entertaining. Fenced in back yard with ever blooming flowers. New floating deck off the back of the house. Quiet street, just waiting for you to make it your own."
9,KENT,OH,44240,233 LAKE ST.,1901.0,3.0,2.0,Single Family Home,119900.0,1520.0,"Now is the perfect time to buy and enjoy this home featuring a gated, front porch, huge tiered deck, and completely fenced, large private back yard! A versatile floor plan and large rooms gives this ""old charmer"" character and appeal. The living room abuts an additional 10 x 9 area that could be office or den space. The main floor is complete with a large first floor bedroom and half bath, as well as a dining room and eat-in kitchen. The kitchen features cabinets galore plus 2 pantries and includes newer stainless appliances. The master bedroom includes two large closets and the third bedroom also has a walk-in closet. With a linen closet and additional hall walk-in closet, there is no lack of storage! The full basement comes with MORE storage, and laundry area complete with washer, dryer and utility sink. The 50 gallon water tank is newer, windows have been replaced, back roof done 5 years ago. The four window air conditioners will stay. Conveniently located just minutes to all that the ""new and improved"" downtown has to offer, and Kent State University. Don't pass this BUY! Call today to view.",Downtown Kent,,,,,,,,,,,,,,
